Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN358","20","945",".18349832744078595","4.7419999675667466","4.414830010257675","","",".28743037894164875",".32716995730907161","1.3141325492526181","1.7911355630778445",".39681885796395611",".00000000000000000000000000000000000000000000000000000000000000057256455144653062",".0033195917079047233","49.534613757369549","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN359","21","944",".29690104414612373","4.9391441754191217","4.4100978086451663","","",".03852569044530868",".52904636677395533","1.0703391037253567","1.793932082325415",".021905615700913532",".0000000000000000000000000000000000000000000000000000000000000002822283598613357",".0032444539588100973","11.748190017926289","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN360","30","935",".44592507651604751","5.1899211342831002","4.3969590641886036","","",".0034345960056569209",".7929620700944966","1.3378268469097576","1.7901816397248331",".0011845610846077349",".00000000000000000000000000000000000000000000000000000000000000012384077542792488",".0031590193603616254","1.9742684743462253","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN361","51","914",".25207332508690805","4.846763229425215","4.397887783746337","","",".033781301914165431",".44887544567887794","1.4127157837250874","1.7987145502143806",".0028903370547285136",".00000000000000000000000000000000000000000000000000000000000000016012435670187031",".0031854356069448823","3.6129213184106423","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN362","93","872",".5612093307597833","5.3139217887861934","4.3264445328987646","","",".0000000027097335923472064",".98747725588742874","1.3684173630317635","1.7958990931679979",".00017794549856405513",".000000000000000000000000000000000000000000000000000000000000000071051510276039521",".0031026186102659612",".50047171471140517","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN363","105","860",".63632816423247507","5.4137262682787641","4.3004803498553112","","",".00000000000046909555798017997","1.1132459184234529","1.3014045997416872","1.796163433056805",".000010075902972744392",".000000000000000000000000000000000000000000000000000000000000000030108370792638303",".0030173544146071918",".037784636147791477","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN364","75","890",".62324049074660193","5.4328008554581109","4.3363980841409893","","",".00000000064767922130102247","1.0964027713171216","1.2873670648504656","1.7928824552493634",".000044849174706306487",".000000000000000000000000000000000000000000000000000000000000000047153365276796978",".0030616187216839725",".15524714321413788","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN365","67","898",".637306096948273","5.465731394392682","4.3437086365484729","","",".000000024986537374040514","1.122022757844209","1.4085516011579948","1.7837305651182662",".00030811391619283698",".000000000000000000000000000000000000000000000000000000000000000083548548501271778",".0031189656928655935",".72974348571987735","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN366","86","879",".57392305660826803","5.3417710282718174","4.3315836753281713","","",".0000000039848115190261228","1.010187352943646","1.3599482268011855","1.7941545408779269",".0013129271100863372",".00000000000000000000000000000000000000000000000000000000000000012758782655205524",".0031620729943678187","2.1100614269244709","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN367","120","845",".53677397738821031","5.2470574783831161","4.3043875285667035","","",".00000000009906809164445174",".94266994981641261","1.3427234778744859","1.8068776378887015",".00021924648229201625",".000000000000000000000000000000000000000000000000000000000000000075573041148964967",".0031088334809941994",".58035833547886662","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN368","129","836",".28161266487124592","4.8547541960493685","4.3547740044909924","","",".0021645602988271981",".49998019155837614","1.6835615639823143","1.7890821335561768",".17678399764113178",".00000000000000000000000000000000000000000000000000000000000000048191327807764161",".003301131801338742","33.249476760858997","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN369","118","847",".39227511985647823","5.0306881387903131","4.336756975994783","","",".00002106330306545457",".69393116279553002","1.5846453833709582","1.7929943843534528",".18514389574693296",".00000000000000000000000000000000000000000000000000000000000000048709350169567462",".003302274033411576","33.575834229659861","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN370","18","947",".34224938368099","5.0200075059824343","4.4102367729009018","","",".16584672248076349",".60977073308153251","1.7728497050056715","1.7818140483250884",".34868327509321773",".00000000000000000000000000000000000000000000000000000000000000055844990142485189",".0033169123046024808","45.87937830173918","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN371","17","948",".5550738199913664","5.3915946839681919","4.4042165078242395","","",".010568644244624564",".9873781761439524","1.3966442658557887","1.7845773084545824",".083456196279072886",".00000000000000000000000000000000000000000000000000000000000000040144392238894194",".003281672641543245","23.182276744186918","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN372","16","949",".48338571378149092","5.2678539741227297","4.4073431985868012","","",".02961479192589353",".86051077553592847","1.4208828941205214","1.7852781718501005",".33441491427810977",".00000000000000000000000000000000000000000000000000000000000000055381811315797305",".0033160187300898748","45.191204632176998","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN373","16","949",".48124068906325623","5.2641129564344622","4.4074062715931372","","",".030159724003433291",".85670668484132495","1.4200562468457611","1.7853189446972959",".21831122904149611",".00000000000000000000000000000000000000000000000000000000000000050568537409973953",".0033062787775895342","35.723655661335734","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN374","41","924",".65007262334048976","5.5223575021995481","4.372768075167377","","",".00000085694145291567821","1.1495894270321712","1.245850655825357","1.7875972779299218",".0017776473770946789",".00000000000000000000000000000000000000000000000000000000000000013926133236881977",".0031710579434390362","2.666471065642019","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN375","12","953",".64031352313317624","5.5466180778188265","4.4074448500640209","","",".020456573235111502","1.1391732277548057","1.4537626605401679","1.7824986679782706",".2294276102805895",".00000000000000000000000000000000000000000000000000000000000000051131253722212394",".0033074627855621134","36.796935057576093","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN376","4","961",".55709421874342091","5.4104736712319763","4.4174947599999062","","",".0011881352776718361",".99297891123207016",".24531458493965252","1.7851556406628626",".27391858840091776",".0000000000000000000000000000000000000000000000000000000000000005314017617074195",".0033115891444959653","41.502816424381486","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN377","63","902",".15769669700980413","4.6843117926620881","4.4032624347085658","","",".25398728479817245",".28104935795352226","1.8818896926023561","1.7751499264788717",".80717453167922293",".00000000000000000000000000000000000000000000000000000000000000063435598360495782",".0033306147862742557","60.775698800952412","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN378","43","922",".11984649446719611","4.6257778932895635","4.4120888390817647","","",".45021968797645529",".21368905420779871","1.7992859305330693","1.7822778135142776",".65724908938796678",".00000000000000000000000000000000000000000000000000000000000000062094361447902144",".0033283133708907212","55.88570044518476","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN379","44","921",".15697885512782223","4.6886838781364393","4.4088515400725674","","",".3150444494817598",".27983233806387187","1.7858549920001312","1.7824599287190015",".62100675037544106",".00000000000000000000000000000000000000000000000000000000000000061636289999408046",".0033275163234055341","55.557263950089173","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","cnaPANCAN380","46","919",".081418745778975066","4.5598836424332383","4.4146895663687804","","",".60159835895066793",".14519407606445789","1.8311396732689582","1.7809222218322869",".33600684739828757",".00000000000000000000000000000000000000000000000000000000000000055434600417533433",".0033161209368156252","45.270383631505815","PANCANCER","GDSC2"
