Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"MIRA-1","1931","MOLT-4","905958","ALL","blood","lymphoblastic_leukemia","4.2704282053524922",".99055823085395889","10",".0967893528670562","-.7804211095117618","GDSC2"
"MIRA-1","1931","SK-OV-3","905959","OV","urogenital_system","ovary","6.9774706661790145",".97615435576014808","10",".051885141145313951","1.421494486186677","GDSC2"
"MIRA-1","1931","MDA-MB-231","905960","BRCA","breast","breast","5.4166810994174348",".98425304111059519","10",".037222236733315768",".15194406782847347","GDSC2"
"MIRA-1","1931","COLO-205","905961","COREAD","digestive_system","large_intestine","4.1117923022218967",".94827625394276893","10",".10984932311109731","-.90945597844924975","GDSC2"
"MIRA-1","1931","SW620","905962","COREAD","digestive_system","large_intestine","6.5744218559979863",".98239748713880404","10",".073549761974160827","1.0936535033399071","GDSC2"
"MIRA-1","1931","CAKI-1","905963","KIRC","kidney","kidney","4.5618100356933722",".92979121488112304","10",".056933646600934369","-.5434103474659957","GDSC2"
"MIRA-1","1931","RPMI-8226","905964","MM","blood","myeloma","4.4434614752942361",".98866306688616157","10",".032692549638211207","-.63967538380818556","GDSC2"
"MIRA-1","1931","SR","905965","UNCLASSIFIED","blood","lymphoid_neoplasm_other","3.8002813047687214",".98622483763557867","10",".024380969946143256","-1.162839858994033","GDSC2"
"MIRA-1","1931","NCI-H322M","905967","LUAD","lung","lung_NSCLC_adenocarcinoma","6.4278243820190895",".98188029851978742","10",".037483938376442982",".97441072495157977","GDSC2"
"MIRA-1","1931","IGROV-1","905968","OV","urogenital_system","ovary","5.3428698752186641",".96620287808037486","10",".038579028673289939",".091905820164177768","GDSC2"
"MIRA-1","1931","OVCAR-5","905969","OV","urogenital_system","ovary","6.9313203422796166",".97050583982474559","10",".052247496800846616","1.3839556889896827","GDSC2"
"MIRA-1","1931","EKVX","905970","LUAD","lung","lung_NSCLC_adenocarcinoma","6.8510789630559268",".97184043259688935","10",".046749461052629698","1.318687135987729","GDSC2"
"MIRA-1","1931","HCC2998","905971","COREAD","digestive_system","large_intestine","5.2681208166396347",".98897421161021493","10",".019713859850510097",".031104735500478965","GDSC2"
"MIRA-1","1931","HOP-62","905972","LUAD","lung","lung_NSCLC_adenocarcinoma","6.4723197209391747",".97994403262387486","10",".038949790681290383","1.0106033529290919","GDSC2"
"MIRA-1","1931","HOP-92","905973","UNCLASSIFIED","lung","lung_NSCLC_large_cell","6.514933257520557",".98427611634296852","10",".041974313160171139","1.0452653178388565","GDSC2"
"MIRA-1","1931","LOXIMVI","905974","SKCM","skin","melanoma","4.6425872354328179",".97352449655450757","10",".074308108151423941","-.47770595661989596","GDSC2"
"MIRA-1","1931","M14","905975","SKCM","skin","melanoma","5.6588928404613874",".98421457582815786","10",".036572175746218391",".34895974740636715","GDSC2"
"MIRA-1","1931","UACC-62","905976","SKCM","skin","melanoma","4.5413167396126752",".96353375080354886","10",".070631281982434985","-.56007964944420507","GDSC2"
"MIRA-1","1931","UACC-257","905977","SKCM","skin","melanoma","6.4631777383553297",".98215185152939333","10",".091213743741304518","1.0031672397841116","GDSC2"
"MIRA-1","1931","RXF393","905978","KIRC","kidney","kidney","5.9058431407304628",".9832347494902548","10",".041000016474285285",".54982978376289549","GDSC2"
"MIRA-1","1931","SN12C","905979","KIRC","kidney","kidney","6.0986491346361262",".98640863969245174","10",".092943773471682534",".70665869615291232","GDSC2"
"MIRA-1","1931","TK10","905980","KIRC","kidney","kidney","5.5117316118878197",".91228572653718576","10",".11221262970704535",".22925840951920831","GDSC2"
"MIRA-1","1931","U031","905981","KIRC","kidney","kidney","5.3729050547851838",".98314474657162709","10",".07921764111025234",".1163365157532415","GDSC2"
"MIRA-1","1931","SNB75","905982","GBM","nervous_system","glioma","5.3135437122233355",".96747813950156869","10",".048653188014774224",".068051840555120396","GDSC2"
"MIRA-1","1931","U251","905983","GBM","nervous_system","glioma","5.8397182846788951",".9828738517550647","10",".033989592768747141",".49604364855805433","GDSC2"
"MIRA-1","1931","SF539","905984","LGG","nervous_system","glioma","5.3145917140938979",".98961324265067596","10",".041177177927109683",".068904288086515136","GDSC2"
"MIRA-1","1931","SF295","905985","GBM","nervous_system","glioma","4.5481160963106122",".96113738497128254","10",".041009050369191363","-.55454903447581894","GDSC2"
"MIRA-1","1931","SF268","905986","GBM","nervous_system","glioma","6.2983911655556888",".98579818664934049","10",".063501686882686856",".86912939964678326","GDSC2"
"MIRA-1","1931","KM12","905989","COREAD","digestive_system","large_intestine","5.7635668773932354",".98385506221537278","10",".041577594236278222",".43410188969643615","GDSC2"
"MIRA-1","1931","OVCAR-4","905990","OV","urogenital_system","ovary","5.2282355763545469",".97358334112341838","10",".069124462828164715","-.0013380258868321709","GDSC2"
"MIRA-1","1931","OVCAR-8","905991","OV","urogenital_system","ovary","4.8886841474212064",".98717809850162574","10",".041253732177754111","-.27753006857896406","GDSC2"
"MIRA-1","1931","BxPC-3","906693","PAAD","pancreas","pancreas","5.5840379762031498",".97574631168435921","10",".068239836693501713",".28807260011951652","GDSC2"
"MIRA-1","1931","BONNA-12","906695","","blood","hairy_cell_leukaemia","4.7308442530169561",".98346553388275171","10",".03254987322820696","-.40591746188420186","GDSC2"
"MIRA-1","1931","BHT-101","906696","THCA","thyroid","thyroid","5.710254866475255",".98654798724504833","10",".030441865051302301",".39073775707677089","GDSC2"
"MIRA-1","1931","Becker","906746","GBM","nervous_system","glioma","5.6182334747135645",".98041796702538109","10",".032972382792560734",".31588731029209921","GDSC2"
"MIRA-1","1931","BE-13","906763","ALL","blood","lymphoblastic_leukemia","3.4918930019694328",".95119817649236038","10",".14531891583789125","-1.4136837313348449","GDSC2"
"MIRA-1","1931","ARH-77","906765","MM","blood","myeloma","3.0468134367065827",".94294459320049928","10",".11182545174032091","-1.7757126430570962","GDSC2"
"MIRA-1","1931","AGS","906790","STAD","digestive_system","stomach","5.0262772003604139",".98113037958847338","10",".033609038666901778","-.16561151040677391","GDSC2"
"MIRA-1","1931","ABC-1","906791","LUAD","lung","lung_NSCLC_adenocarcinoma","5.910818624146855",".9811444835927533","10",".03797775241920763",".55387685531394459","GDSC2"
"MIRA-1","1931","A2058","906792","SKCM","skin","melanoma","5.1558902638563611",".9897901516205061","10",".040631134471222442","-.060183897043502257","GDSC2"
"MIRA-1","1931","A375","906793","SKCM","skin","melanoma","5.229079371174187",".98012665354338246","10",".089015967474709107","-.00065168091817303247","GDSC2"
"MIRA-1","1931","A253","906794","UNCLASSIFIED","aero_digestive_tract","head_and_neck","5.5862250686864749",".99182811002176541","10",".046028849851275935",".28985158700943697","GDSC2"
"MIRA-1","1931","8305C","906795","THCA","thyroid","thyroid","6.1854247544004508",".97208101350735809","10",".070163317689764929",".77724221793007919","GDSC2"
"MIRA-1","1931","647-V","906797","BLCA","urogenital_system","bladder","5.6990683083776759",".9911530250365751","10",".048199662000327166",".38163858072704876","GDSC2"
"MIRA-1","1931","639-V","906798","BLCA","urogenital_system","bladder","4.9698221359954449",".98267077398655833","10",".060417453889684551","-.21153221112730491","GDSC2"
"MIRA-1","1931","697","906800","UNCLASSIFIED","blood","lymphoblastic_leukemia","1.7609512556843752",".87595123914405337","10",".14120530590644295","-2.8216363887256914","GDSC2"
"MIRA-1","1931","BT-20","906801","BRCA","breast","breast","5.0264028816171127",".98933967744996643","10",".050243131194996661","-.16550928093560133","GDSC2"
