,Genetic Feature,feature_pval,ic50_effect_size,feature_delta_mean_ic50,msi_pval,fdr,log_ic50_mean_pos
315,cnaPANCAN47,0.7760482986552448,0.03283523085072435,0.05856264917523468,0.00333025681057652,60.2067833095523,4.477745916613399
316,cnaPANCAN48,0.7534353164236971,0.04134183170657999,0.07373344864666986,0.00332995939274641,59.273757410955206,4.492211466937162
317,cnaPANCAN49,0.7293431325070302,0.03199562549206833,0.05706519339338633,0.00332960657617238,59.017779098378966,4.476192261706667
318,cnaPANCAN50,0.6947179672913585,0.03451809718050567,0.06156384995734054,0.00332903154574263,57.88834501044378,4.480431325083425
319,cnaPANCAN51,0.6463571255734111,0.0449709319656278,0.08020530875285913,0.00332808480296588,55.88570044518476,4.498242128202046
320,cnaPANCAN52,0.8026135375606409,0.06502083000514552,0.1159566273242394,0.00333056597285163,60.60572111902008,4.531318922064113
321,cnaPANCAN53,0.7773364689522195,0.01225319631510441,-0.02185432906555728,0.00333027279369391,60.2067833095523,4.401092577110305
322,cnaPANCAN54,0.7609619497881659,0.02170811624641023,-0.03871741090943015,0.00333006195461631,59.55354389646518,4.385220380673561
323,cnaPANCAN55,0.8757100683326258,0.00105303962640991,-0.00187816897624593,0.00333120341458899,63.10044762455716,4.419843504263635
324,cnaPANCAN56,0.5638380231434713,0.7183780894046056,1.279234837384446,0.00332603151050532,55.361497857383675,5.692891780410904
325,cnaPANCAN57,0.229776416692864,0.5264566123392737,0.9355718696153392,0.00330749882193415,36.796935057576086,5.331975486646261
326,cnaPANCAN58,0.5823385896447272,0.438771872494456,0.7795269619061171,0.00332654454539401,55.369826062710125,5.168017898286104
327,cnaPANCAN59,0.24666919141863056,0.4561180423389829,0.8065800476944851,0.00330916921269608,38.54206115916104,5.154637368780209
328,cnaPANCAN60,0.07197161691452135,0.5669141164989825,1.00411867040187,0.00327767885043694,22.286467836950365,5.379945755942964
329,cnaPANCAN61,0.04928038911050478,0.5200125566058651,0.9238370597749553,0.00326729365168555,17.948017598737984,5.317684815538027
330,cnaPANCAN62,0.5964409367193484,0.16697286008297768,0.2975881280825794,0.00332691423875922,55.369826062710125,4.70254626293064
331,cnaPANCAN63,0.01470833195701199,0.4190225797228105,0.7445722937451595,0.00323301604148124,10.341795907274058,5.133005195728368
332,cnaPANCAN64,0.02662061908791882,0.3998391482848868,0.7107746068662637,0.00325000620065899,13.400515769144883,5.101450073764145
333,cnaPANCAN65,0.02662061908791882,0.3998391482848868,0.7107746068662637,0.00325000620065899,13.400515769144883,5.101450073764145
334,cnaPANCAN66,0.02112730469834581,0.39365772314023034,0.6998063016590033,0.00324342006573698,11.73739149908101,5.09023395769372
335,cnaPANCAN67,0.16005674191805683,0.27366516098329446,0.48734007365245,0.00329864844722841,31.76731879990896,4.8877401523586
336,cnaPANCAN68,0.17073987087697043,0.3264703608700422,0.5812880898080444,0.00330026664216715,33.117647368377895,4.983622950088854
337,cnaPANCAN69,0.1911447483759528,0.28457144712380206,0.5068542929632267,0.00330305784164825,33.86422707447983,4.910606949008915
338,cnaPANCAN70,0.41595163085909903,0.09448344652256592,0.16850246830640003,0.0033205318422556,50.96519370890061,4.586620923932006
339,cnaPANCAN71,0.3448509507969424,0.12610176483501148,0.2248019527974137,0.00331667719156132,45.820334957384475,4.6317364978944084
340,cnaPANCAN72,0.26920707151512,0.3900787722086464,0.6953508264272976,0.00331119256767254,41.19866532873134,5.1119175655566735
341,cnaPANCAN73,0.04255868985659032,0.3471110213182549,0.6188275606836138,0.00326321713589446,16.948150827845705,5.035949390859834
342,cnaPANCAN74,0.5491598810605822,0.0856338990721339,-0.1527231537245486,0.00332560077403469,55.361497857383675,4.2718945654107925
343,cnaPANCAN75,0.31680217442546504,0.09504757131417604,-0.16945521990145185,0.00331484317237387,44.00030200353682,4.26901323621811
344,cnaPANCAN76,0.5497361118777471,0.17451970150177598,-0.3110525546370555,0.00332561809227269,55.361497857383675,4.125385555785891
345,cnaPANCAN77,0.6177802025907826,0.2320018447183259,-0.4132235883534357,0.00332744018769454,55.461333039032645,4.030654116972178
346,cnaPANCAN78,0.4762004869002744,0.2707312208159162,-0.4819826626850827,0.00332311109139392,52.96319589929068,3.96510073093334
347,cnaPANCAN79,0.6486778518126102,0.1954665083041553,-0.34827601388033536,0.00332813427668412,55.88570044518476,4.092823741346998
348,cnaPANCAN80,0.20026208671073464,0.2660354330087394,-0.47327650537915783,0.00330419559326618,34.527945984609424,3.9856078194432816
349,cnaPANCAN81,0.814139112503247,0.15271286999099462,-0.27217425466339584,0.00333068694977041,60.95883537877892,4.167769460982158
350,cnaPANCAN82,0.6785163176511769,0.13378729944839252,-0.23848458559053576,0.00332873365908902,57.071465970659766,4.199189877734048
351,cnaPANCAN83,0.6077105492686024,0.09281775773837635,-0.1655373970117031,0.00332719690891578,55.369826062710125,4.258303375222484
352,cnaPANCAN84,0.06764782920717932,0.47156396325531447,0.834832488029888,0.00327599572530461,21.589732725695534,5.195885425732216
353,cnaPANCAN85,0.02828997773486141,0.5180181448260438,0.9199641141920417,0.00325173151001928,13.400515769144883,5.311068266928511
354,cnaPANCAN86,0.04657400764569992,0.49765526519442976,0.881347094852451,0.00326572678333207,17.87420735568615,5.249072359565968
355,cnaPANCAN87,0.04150844856294072,0.43516485528555215,0.7727569695377392,0.00326251978916109,16.82774941740841,5.156730836352832
356,cnaPANCAN88,0.01023209104041282,0.4646762486506496,0.8230492088012928,0.00322250589670871,8.488825089080185,5.187515594350673
357,cnaPANCAN89,0.00236067362509465,0.5112758638789181,0.9014769754526704,0.0031794540650943,3.275792226635828,5.23434127221623
358,cnaPANCAN90,0.01753248157466691,0.4478484922780575,0.7921982867204544,0.00323807366375873,10.625239480156926,5.141567105179976
359,cnaPANCAN91,0.03226942519323309,0.41526368374639694,0.7314527391195051,0.00325545264552329,14.103217349909285,5.022690550431716
360,cnaPANCAN92,0.04416335400498475,0.3223547695735845,0.5687037520424196,0.00326424863270099,17.315592794776876,4.817051374782696
361,cnaPANCAN93,0.5553371699933904,0.2597634553486202,0.4617197917176936,0.00332578467401762,55.361497857383675,4.830220788779014
362,cnaPANCAN94,0.5275931209997005,0.26913779938059174,0.4782348171281576,0.00332492766901317,54.83069386832916,4.843844998174123
363,cnaPANCAN95,0.49454727018431727,0.2741466829379709,0.4870670323072588,0.00332379617552687,53.10036024622716,4.851642974684583
364,cnaPANCAN96,0.3724794503672937,0.29317255637684086,0.5205633023685259,0.00331829722018309,47.673160117522016,4.880677439751766
365,cnaPANCAN97,0.6187019819020974,0.27675302000508434,0.49163171051629456,0.00332746202770694,55.461333039032645,4.854654210345792
366,cnaPANCAN98,0.28485522350844966,0.32352583744653624,0.5741912973935692,0.00331247768751881,41.915348932300766,4.935110309529003
367,cnaPANCAN99,0.40507914559219294,0.32482045622379746,0.5778127787916914,0.00332000552918053,50.355142407869295,4.968886257886471
368,cnaPANCAN100,0.7529878991853894,0.12927547580563942,-0.23055391945740933,0.0033299531825919,59.273757410955206,4.193207059112492
369,cnaPANCAN101,0.9521725935649363,0.21204299276578964,-0.3781320100934949,0.00333155331283238,65.11818649000325,4.046221651166082
370,cnaPANCAN102,0.695946547792224,0.1344025689162888,-0.2397028762021316,0.00332905336895931,57.88834501044378,4.183398239136781
371,cnaPANCAN103,0.9119510685646408,0.00549026020383708,-0.00979225803463723,0.00333140859770737,64.64959354041275,4.411879361232768
372,cnaPANCAN104,0.7337468824403249,0.09153931692059245,0.1632610702033812,0.00332967389945425,59.017779098378966,4.583518345315518
373,cnaPANCAN106,0.03379015802502841,1.3762557029159217,2.4474595813133027,0.00325675044745707,14.620741453137295,6.861461633438585
374,cnaPANCAN107,0.0127423327390268,0.6516690236823943,1.1587769778234804,0.00322886952751156,9.718728360274685,5.563576440367842
