,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
67,Nutlin-3a (-),LU-135,SCLC,lung,4.249160913357592,0.9707128884855316,-0.093484863202103
68,Nutlin-3a (-),SK-N-SH,NB,nervous_system,1.5754372558321328,0.8054906686990863,-1.589688368428582
69,Nutlin-3a (-),NCI-H2030,LUAD,lung,5.049142361496003,0.9599420539751876,0.3541810889062807
70,Nutlin-3a (-),NCI-H2122,LUAD,lung,4.0111779923171405,0.9706019681697912,-0.22665901515403045
71,Nutlin-3a (-),NCI-H1734,LUAD,lung,4.339738631632897,0.9829300387372669,-0.04279798716781824
72,Nutlin-3a (-),NCI-H650,LUAD,lung,5.558157636119238,0.9898371035764703,0.6390237037971396
73,Nutlin-3a (-),T24,BLCA,urogenital_system,4.915735169189913,0.9715061101175768,0.2795270354894339
74,Nutlin-3a (-),NCI-H929,MM,blood,0.8952889776430718,0.771852095845592,-1.970296227821971
75,Nutlin-3a (-),SK-N-AS,NB,nervous_system,5.7145312323721775,0.9775049278134084,0.7265296516089099
76,Nutlin-3a (-),NCI-H1299,UNCLASSIFIED,lung,5.2710339205719805,0.9712945979149091,0.47835058844869416
77,Nutlin-3a (-),NCI-H2087,LUAD,lung,5.856740819711376,0.9739780013359043,0.8061094849454058
78,Nutlin-3a (-),UM-UC-3,BLCA,urogenital_system,6.275436651607618,0.9910251058403283,1.0404097536151518
79,Nutlin-3a (-),SW756,CESC,urogenital_system,6.692944407125131,0.9810842682303944,1.2740451801882493
80,Nutlin-3a (-),NCI-H727,UNCLASSIFIED,lung,6.067386052969087,0.9721668087142544,0.9239855921011928
81,Nutlin-3a (-),Calu-6,LUAD,lung,6.322343982637022,0.9770370275718296,1.0666588810855528
82,Nutlin-3a (-),LU-65,UNCLASSIFIED,lung,5.397961935868294,0.9637575506534096,0.5493789241045736
83,Nutlin-3a (-),NCI-H1355,LUAD,lung,6.640623375799185,0.9759394389643901,1.244766570842587
84,Nutlin-3a (-),NCI-H1792,LUAD,lung,5.03075934352406,0.9864637260139576,0.34389403629751614
85,Nutlin-3a (-),HPAF-II,PAAD,pancreas,5.829204213659745,0.9729041706511192,0.7907001263976251
86,Nutlin-3a (-),MIA-PaCa-2,PAAD,pancreas,5.7869875754309135,0.9877994569332419,0.7670758891212441
87,Nutlin-3a (-),SHP-77,SCLC,lung,4.4306396472976655,0.98101480348554,0.00806980460395686
88,Nutlin-3a (-),NCI-H2009,LUAD,lung,6.056900147335673,0.9845979872969332,0.9181177273650488
89,Nutlin-3a (-),NCI-H2291,LUAD,lung,6.849478621143615,0.9685776713777875,1.3616410089655162
90,Nutlin-3a (-),SW1573,LUAD,lung,5.1780079539471435,0.9492413544531678,0.4262936838581943
91,Nutlin-3a (-),TE-5,ESCA,aero_digestive_tract,5.760675675006585,0.9807789687452576,0.7523518702297456
92,Nutlin-3a (-),HCC1954,BRCA,breast,5.163317424848494,0.9866398481682778,0.4180729311004572
93,Nutlin-3a (-),HCC1143,BRCA,breast,6.14751261797056,0.9826785287175008,0.9688240506604876
94,Nutlin-3a (-),HCC1187,BRCA,breast,4.5467934609494005,0.9781939401354801,0.07306894639708901
95,Nutlin-3a (-),HCC1395,BRCA,breast,4.874812677954118,0.9690946278457,0.2566269969393524
96,Nutlin-3a (-),HCC1599,BRCA,breast,5.163123566282225,0.9655444025180938,0.4179644487352164
97,Nutlin-3a (-),HCC1937,BRCA,breast,5.902657946768341,0.9779292281405108,0.831804498810878
98,Nutlin-3a (-),HCC2157,BRCA,breast,4.526120883972896,0.9858701585954887,0.06150066706229147
